Township,Area,State,Tenure,Type,Bedrooms,Bathrooms,Median_Price,Median_PSF,House_Size_SQFT,Transactions,Safety_Score,Crime_Risk,Distance_to_Public_Transport_KM,Distance_to_Mall_KM,Distance_to_School_KM,Distance_to_Hospital_KM,Flood_Risk,Estimated_Rental_Yield_Pct,Historical_Capital_Appreciation_3Yr_Pct,Est_Monthly_Mortgage_RM
TAMAN CHAI LENG,Perai,Penang,Freehold,Terrace House,3,2,490000,265,"1,849",19,80,Low,1.00,1.90,3.00,1.70,Low,2.55,3.99,
TAMAN SELAYANG JAYA,Selayang,Selangor,Freehold,Terrace House,3,2,680000,551,"1,234",19,68,Moderate,1.50,3.30,0.60,12.40,Medium,2.50,5.45,
TAMAN ANGGUN,Rawang,Selangor,Freehold,Terrace House,3,2,837000,409,"2,046",19,74,Moderate,1.80,5.40,2.10,8.40,High,3.95,2.58,
TAMAN SERI AMAN,Masjid Tanah,Melaka,Freehold,Terrace House,3,2,200000,142,"1,408",19,81,Low,16.60,6.60,5.70,6.50,Low,4.18,2.80,
TAMAN KLUANG INDAH,Kluang,Johor,Freehold,Terrace House,3,2,250000,209,"1,196",19,70,Moderate,16.10,8.80,1.60,2.00,Medium,2.19,4.51,
TAMAN SRI MAWAR I,Seremban,Negeri Sembilan,Freehold,Terrace House,3,2,250000,182,"1,374",19,81,Low,11.40,5.80,0.70,5.10,Low,3.49,1.55,
TAMAN SAUJANA INDAH,Bukit Katil,Melaka,Freehold,"Terrace House, Semi D, Town House",4,4,315000,194,"1,624",19,84,Low,11.40,5.50,2.00,1.50,High,3.74,1.22,
TAMAN MUDA,Ampang,Selangor,Leasehold,Terrace House,3,2,500000,590,847,19,76,Low,3.80,1.70,1.50,13.50,High,3.13,2.53,
SEKSYEN 3 BANDAR BARU BANGI,Bangi,Selangor,Leasehold,Terrace House,3,2,590000,357,"1,653",19,67,Moderate,2.00,2.50,1.30,6.50,Low,4.23,4.75,
TAMAN CHERAS JAYA,Balakong,Selangor,Leasehold,Terrace House,3,2,425000,249,"1,707",19,69,Moderate,1.10,3.80,1.00,3.60,Low,2.37,3.53,
KOTA WARISAN,Dengkil,Selangor,Freehold,"Semi D, Terrace House",4,4,500000,260,"1,923",19,69,Moderate,2.00,1.70,5.60,2.10,High,2.37,4.80,
TAMAN PUTERI,Kluang,Johor,Freehold,Terrace House,3,2,160000,128,"1,250",19,74,Moderate,1.90,2.40,0.50,2.50,Low,2.14,5.02,
TAMAN MALIHAH,Kuching,Sarawak,Leasehold,Terrace House,3,2,248000,133,"1,865",19,75,Low,7.90,8.00,0.80,1.80,Low,4.17,2.69,
Arcoris Residences,Mont Kiara,Kuala Lumpur,Freehold,Service Residence,3,2,1010000,"1,106",913,19,72,Moderate,2.20,2.90,0.50,1.90,Low,2.49,3.58,
Putri Ria Apartment,Masai,Johor,Freehold,Apartment,3,2,265000,281,943,19,78,Low,4.30,5.90,2.70,11.40,Medium,4.30,4.31,
Sky View,Iskandar Puteri (Nusajaya),Johor,Freehold,Service Residence,3,2,410000,515,796,19,78,Low,15.80,6.80,2.20,1.70,Low,3.54,4.16,
Taman Setia Jaya,Alor Setar,Kedah,Freehold,Flat,2,1,68000,124,548,19,79,Low,11.80,8.10,3.30,7.90,Low,4.01,3.23,
28 Mont Kiara @ MK28,Mont Kiara,Kuala Lumpur,Freehold,Condominium,3,2,2050000,756,"2,712",19,63,Moderate,2.70,3.10,0.90,9.00,High,3.39,3.90,
Prima Setapak Flat,Setapak,Kuala Lumpur,Leasehold,"Flat, Condominium",3,2,350000,301,"1,163",19,73,Moderate,3.00,4.90,6.40,2.20,Low,4.98,2.68,
The Spring,Jelutong,Penang,Leasehold,Condominium,3,2,520000,551,944,19,76,Low,1.10,1.80,0.90,7.80,Low,4.82,4.96,
Vista Lavender,Bandar Kinrara,Selangor,Leasehold,Apartment,3,2,200000,235,851,19,74,Moderate,3.20,1.60,0.60,27.70,Low,4.72,2.54,
The Capers @ Sentul East,Sentul,Kuala Lumpur,Freehold,Condominium,3,2,760000,590,"1,288",19,73,Moderate,1.00,1.10,3.20,3.30,Low,3.61,3.53,
Seri Mutiara,Setia Alam,Selangor,Freehold,Apartment,3,2,330000,348,948,19,67,Moderate,8.60,6.50,1.70,10.80,Low,3.74,5.39,
Taman Penampang Apartment,Penampang,Sabah,Leasehold,Apartment,3,2,340000,336,"1,012",19,68,Moderate,7.40,11.30,0.50,1.80,Low,4.70,1.74,
Vista Seri Melalin,Tuaran,Sabah,Leasehold,Apartment,3,2,290000,287,"1,010",19,68,Moderate,13.00,4.40,2.20,10.30,Low,5.34,2.85,
Selesa I Resort Apartment (Pangsapuri Damai Mewah B),Kajang,Selangor,Freehold,Apartment,3,2,290000,302,960,19,68,Moderate,0.70,2.80,1.90,2.30,Low,3.85,3.64,
Taman Ketiau,Penampang,Sabah,Leasehold,Flat,2,1,190000,284,669,19,68,Moderate,91.50,8.40,5.60,2.80,Low,3.66,3.43,
Miami Green,Batu Ferringhi,Penang,Freehold,Condominium,3,2,530000,447,"1,186",19,82,Low,5.20,3.00,0.60,4.80,Low,4.39,5.19,
Pelangi Heights,Klang,Selangor,Freehold,Apartment,3,2,375000,325,"1,154",19,73,Moderate,2.80,3.10,0.70,3.80,Medium,4.00,5.08,
Sandilands,Georgetown,Penang,Freehold,Condominium,3,2,838000,623,"1,345",19,83,Low,1.40,2.20,1.60,5.00,Low,3.32,5.45,
Taman Melor,Tampoi,Johor,Leasehold,Flat,2,1,115000,232,496,19,78,Low,9.30,1.00,2.60,6.50,High,5.30,3.59,
Apartment Dahlia,Serendah,Selangor,Freehold,Flat,2,1,65000,86,756,19,77,Low,1.10,2.40,0.60,7.10,Low,4.98,4.76,
TAMAN PD UTAMA,Port Dickson,Negeri Sembilan,Freehold,Terrace House,3,2,195000,136,"1,434",18,76,Low,39.20,12.80,0.90,3.10,Low,4.07,1.77,
SS18,Subang Jaya,Selangor,Freehold,"Terrace House, Semi D",4,4,810000,463,"1,749",18,70,Moderate,1.10,1.60,1.80,2.20,Low,3.07,5.09,
SS1 PETALING JAYA,Petaling Jaya,Selangor,Freehold,"Bungalow, Terrace House",7,7,1365000,310,"4,403",18,76,Low,1.00,2.30,2.30,4.80,Low,3.79,3.68,
KAJANG 2,Semenyih,Selangor,Freehold,Terrace House,3,2,869000,603,"1,441",18,69,Moderate,0.60,2.50,1.30,4.80,Low,3.95,2.64,
TAMAN JASA RIA (JESSELTON HILLS),Bukit Mertajam,Penang,Freehold,Semi D,4,4,1043800,336,"3,107",18,73,Moderate,4.80,1.00,0.60,10.00,High,3.80,3.12,
TAMAN SEJATI LAKESIDE,Cyberjaya,Selangor,Freehold,Terrace House,3,2,1311150,587,"2,234",18,74,Moderate,2.60,1.20,2.30,11.60,Low,2.66,3.98,
TAMAN SERI DAGANG 3,Tanjong Duabelas,Selangor,Leasehold,"Semi D, Terrace House",4,4,386500,189,"2,045",18,75,Low,0.70,1.90,1.20,4.90,Medium,3.03,4.06,
PERUMAHAN MAKMUR KUALA LANAR JAYA,Kuala Lipis,Pahang,Leasehold,Semi D,4,4,150000,48,"3,125",18,86,Very Low,27.40,9.90,4.80,6.90,Medium,3.25,1.83,
PEARL IMPIANA,Simpang Ampat,Penang,Freehold,"Terrace House, Semi D",4,4,637000,504,"1,264",18,83,Low,4.60,1.30,2.20,3.60,Low,2.40,4.81,
TAMAN JASA INTAN FASA II,Bukit Mertajam,Penang,Freehold,Terrace House,3,2,788800,434,"1,818",18,74,Moderate,5.50,2.90,0.60,2.30,Low,2.92,4.02,
"P/L 1280, KAMPUNG KOLAM",Rompin,Pahang,Freehold,Terrace House,3,2,210000,129,"1,628",18,84,Low,13.70,8.20,1.40,2.90,Medium,3.48,3.27,
BK 2 - PERUMAHAN KINRARA,Bandar Kinrara,Selangor,Freehold,Terrace House,3,2,674000,463,"1,456",18,76,Low,1.80,2.50,3.40,7.00,Medium,3.63,2.64,
TAMAN SUNGAI RAMBAI DAMAI,Sungai Rambai,Melaka,Leasehold,Terrace House,3,2,304200,154,"1,975",18,82,Low,17.30,4.50,0.70,2.70,Low,3.93,3.47,
TROPICANA GOLF & COUNTRY RESORT,Tropicana,Selangor,Leasehold,"Town House, Bungalow, Terrace House",7,6,2550000,580,"4,397",18,76,Low,0.90,8.60,1.80,4.50,Low,3.09,5.41,
TAMAN MACHANG BUBOK,Bukit Mertajam,Penang,Freehold,Terrace House,3,2,480000,387,"1,240",18,82,Low,2.20,3.70,1.20,8.10,Low,3.26,3.88,
TAMAN SUBANG MEWAH,Subang Jaya,Selangor,Leasehold,Terrace House,3,2,665000,370,"1,797",18,71,Moderate,5.40,3.20,0.70,2.10,Medium,2.76,4.47,
BUKIT ANGGERIK,Cheras,Kuala Lumpur,Leasehold,Terrace House,3,2,493000,308,"1,601",18,63,Moderate,7.80,3.30,4.60,3.00,Low,2.53,2.81,
TAMAN SIMPANG BERSATU,Taiping,Perak,Freehold,Terrace House,3,2,528800,317,"1,668",18,77,Low,12.00,9.60,2.70,2.60,Low,2.06,1.73,
TAMAN IPOH JAYA,Ipoh,Perak,Leasehold,Terrace House,3,2,234000,250,936,18,74,Moderate,9.70,3.60,0.70,6.70,Low,2.91,2.38,
TAMAN BANDAR BARU LAHAT,Lahat,Perak,Leasehold,Terrace House,3,2,255100,239,"1,067",18,73,Moderate,20.50,4.20,1.20,4.30,High,2.67,3.46,
BANDAR BARU SELAYANG,Selayang,Selangor,Leasehold,Terrace House,3,2,650000,396,"1,641",18,68,Moderate,1.80,4.90,0.70,3.60,Low,2.67,3.82,
BANDAR MANJALARA,Bandar Menjalara,Kuala Lumpur,Leasehold,Terrace House,3,2,850000,599,"1,419",18,70,Moderate,0.60,3.00,1.70,8.30,Low,2.24,3.28,
TAMAN SUNGAI BESI INDAH,Seri Kembangan,Selangor,"Leasehold, Freehold","Terrace House, Bungalow",5,4,480000,352,"1,364",18,72,Moderate,0.90,1.60,3.00,6.20,Low,2.11,4.18,
TAMAN INTAN PERDANA,Telok Kemang,Negeri Sembilan,"Freehold, Leasehold",Terrace House,3,2,220000,154,"1,429",18,79,Low,23.90,5.90,2.30,3.60,Medium,3.73,1.49,
MEDAN KLEBANG RESTU,Chemor,Perak,Freehold,Terrace House,3,2,235000,172,"1,366",18,80,Low,21.10,3.90,2.10,4.50,Low,2.85,1.04,
TAMAN PERTAMA INDAH ~ JALAN BAKRI,Bakri,Johor,Freehold,Terrace House,3,2,820000,373,"2,198",18,76,Low,1.20,4.10,1.10,11.00,Low,3.93,4.84,
PRIMA SP BAIDURI (SP 1),Sungai Petani,Kedah,Freehold,Terrace House,3,2,270000,179,"1,508",18,83,Low,8.80,6.20,0.60,3.90,Medium,2.15,1.91,
DESA PINGGIRAN PUTRA,Dengkil,Selangor,Leasehold,"Bungalow, Terrace House",5,4,402500,203,"1,983",18,67,Moderate,1.20,5.20,2.90,4.20,Low,4.20,3.68,
PUTRAJAYA PRESINT 14,Putrajaya,Putrajaya,Freehold,"Bungalow, Terrace House",6,5,1260000,569,"2,214",18,92,Very Low,21.70,10.30,1.00,3.60,Low,3.21,1.89,
TAMAN BEMBAN RAYA,Batu Gajah,Perak,Leasehold,Terrace House,3,2,238000,154,"1,545",18,76,Low,5.30,10.40,3.90,6.10,Low,3.37,3.45,
TAMAN DESA,Taman Desa,Kuala Lumpur,Freehold,Terrace House,3,2,1425000,672,"2,121",18,64,Moderate,0.80,6.90,0.60,9.50,Low,4.29,4.82,
TAMAN KEMPAS,Tampoi,Johor,Freehold,Terrace House,3,2,390000,311,"1,254",18,78,Low,10.70,2.20,0.80,2.60,Low,2.93,3.98,
PUTRAJAYA PRESINT 11,Putrajaya,Putrajaya,Freehold,"Semi D, Terrace House",4,4,880000,465,"1,892",18,91,Very Low,8.00,5.10,0.90,3.00,Low,2.82,3.46,
TAMAN GEMBIRA,Klang,Selangor,Freehold,Terrace House,3,2,532500,323,"1,649",18,67,Moderate,3.10,1.40,1.00,4.90,Low,3.63,3.85,
TAMAN SALAK IDAMAN,Sepang,Selangor,Freehold,Terrace House,3,2,396500,274,"1,447",18,69,Moderate,1.20,2.70,1.10,7.00,Low,2.03,4.06,
Taman Desa Ilmu,Kota Samarahan,Sarawak,Leasehold,"Apartment, Flat",3,2,170000,259,656,18,74,Moderate,6.60,10.20,2.60,3.10,Low,5.46,2.31,
Impian Senibong Apartment,Permas Jaya,Johor,Leasehold,Apartment,3,2,375000,367,"1,022",18,72,Moderate,2.70,5.10,0.70,2.10,Low,3.62,2.57,
Taman Bukit Jambul,Bukit Jambul,Penang,Freehold,Flat,2,1,263000,311,846,18,74,Moderate,8.70,2.30,3.00,2.60,Low,4.02,5.25,
Tropez Residences,Johor Bahru,Johor,Freehold,Service Residence,3,2,395000,508,778,18,77,Low,12.60,1.20,0.70,9.30,Low,4.29,5.34,
Casa Subang,Subang Jaya,Selangor,Freehold,Service Residence,3,2,550000,516,"1,066",18,72,Moderate,4.90,4.00,0.90,4.70,High,3.68,4.17,
The Pines Residence,Gelang Patah,Johor,Leasehold,Apartment,3,2,330000,325,"1,015",18,80,Low,4.00,3.20,2.10,2.60,Low,4.56,4.12,
Flat Taman Alam Megah,Shah Alam,Selangor,Freehold,Flat,2,1,169000,280,604,18,75,Low,3.30,7.00,1.10,6.20,Low,4.83,3.76,
Forest Green,Bandar Sungai Long,Selangor,Freehold,Condominium,3,2,600000,599,"1,002",18,73,Moderate,1.10,1.00,1.20,3.20,Low,4.74,2.86,
Jentayu,Skudai,Johor,Freehold,Flat,2,1,130000,195,667,18,75,Low,3.10,3.40,0.60,7.70,Medium,3.81,5.01,
Balau,Masai,Johor,Freehold,Flat,2,1,146000,228,640,18,70,Moderate,14.60,1.70,2.20,8.00,Low,5.28,4.12,
Park Avenue,Tampoi,Johor,Leasehold,Apartment,3,2,183750,267,688,18,70,Moderate,1.10,3.50,2.50,5.80,Low,3.27,5.28,
Amadesa Resort Condominium,Desa Petaling,Kuala Lumpur,Leasehold,Condominium,3,2,350000,323,"1,084",18,69,Moderate,0.70,2.30,3.00,2.90,Low,4.81,3.74,
Angsana,Subang Jaya,Selangor,Leasehold,Flat,2,1,211000,321,657,18,67,Moderate,1.10,3.50,2.60,3.40,Medium,4.58,3.79,
PD Marina World Resort,Port Dickson,Negeri Sembilan,Freehold,Condominium,3,2,90500,138,656,18,74,Moderate,5.40,4.60,1.40,8.30,Medium,4.27,3.22,
10 Mont Kiara @ MK10,Mont Kiara,Kuala Lumpur,Freehold,Condominium,3,2,3350000,897,"3,735",18,65,Moderate,1.00,9.00,1.70,5.80,Low,3.57,2.81,
Pangsapuri Baiduri,Beranang,Selangor,Freehold,Flat,2,1,119000,170,700,18,76,Low,2.70,8.00,0.70,2.60,Medium,3.21,3.44,
Sky Oasis Residence (Pangsapuri Oasis 1),Johor Bahru,Johor,Freehold,Service Residence,3,2,400000,459,871,18,75,Low,4.30,4.70,3.10,9.30,Low,2.34,3.16,
Sky Loft Premium Suites,Iskandar Puteri (Nusajaya),Johor,Freehold,Service Residence,3,2,550000,442,"1,244",18,77,Low,14.40,2.60,0.60,3.80,Low,2.03,3.18,
Bukit Cheras,Cheras,Kuala Lumpur,Freehold,Flat,2,1,160000,263,608,18,67,Moderate,4.80,1.80,1.00,7.40,Low,3.97,2.59,
Verve Suites KL South,Jalan Klang Lama (Old Klang Road),Kuala Lumpur,Freehold,Service Residence,3,2,778800,"1,097",710,18,64,Moderate,1.50,1.20,3.10,3.70,Medium,3.40,4.21,
Seri Puteri Hills,Puchong,Selangor,Freehold,Condominium,3,2,1109000,686,"1,617",18,71,Moderate,1.30,3.70,0.60,3.10,Low,3.42,4.29,
TAMAN KULIM TECHNOCITY FASA 1,Kulim,Kedah,Freehold,Terrace House,3,2,320000,222,"1,441",17,78,Low,12.20,3.80,5.40,8.10,High,4.30,3.36,
SUNWAY ALAM SURIA,Shah Alam,Selangor,Leasehold,Terrace House,3,2,700000,395,"1,772",17,75,Low,2.70,2.80,0.90,12.30,Low,2.01,4.89,
SS21 DAMANSARA UTAMA,Petaling Jaya,Selangor,Freehold,Terrace House,3,2,1140000,689,"1,655",17,69,Moderate,1.30,2.30,0.80,4.80,Low,2.81,2.69,
PJS 9,Bandar Sunway,Selangor,Leasehold,Terrace House,3,2,940000,549,"1,712",17,71,Moderate,2.90,9.60,0.50,2.60,Low,2.68,3.47,
NUSARI AMAN 2,Bandar Sri Sendayan,Negeri Sembilan,Freehold,"Semi D, Terrace House",4,4,500000,227,"2,203",17,84,Low,12.90,11.90,0.80,2.00,Medium,3.20,2.65,
ECO HORIZON (FASA1),Batu Kawan,Penang,Freehold,Terrace House,3,2,1000000,556,"1,799",17,79,Low,5.80,3.50,3.50,4.10,High,3.72,3.24,
HIJAUAN SELAYANG,Selayang,Selangor,Leasehold,Terrace House,3,2,1498800,"1,071","1,399",17,72,Moderate,1.90,16.60,2.20,1.80,Low,2.74,3.43,
TAMAN TOPAZ @ SELANGORKU,Dengkil,Selangor,Freehold,Terrace House,3,2,250000,192,"1,302",17,72,Moderate,1.40,15.80,1.30,2.90,Low,2.83,5.50,
TAMAN KUALA LIPIS,Kuala Lipis,Pahang,Freehold,Terrace House,3,2,275000,179,"1,536",17,84,Low,49.50,5.90,1.00,1.90,Medium,3.79,3.44,
SENTRAL BEHRANG,Ulu Bernam,Perak,Leasehold,"Terrace House, Cluster House",4,3,398888,285,"1,400",17,74,Moderate,26.60,3.50,1.40,8.80,Low,3.59,2.02,
TROPICANA HEIGHTS,Kajang,Selangor,Freehold,"Town House, Terrace House",3,2,833300,455,"1,831",17,74,Moderate,0.90,3.50,11.20,2.90,Low,2.90,3.97,
TAMAN JASMIN [SENAWANG],Senawang,Negeri Sembilan,Leasehold,"Town House, Terrace House",3,2,150000,153,980,17,83,Low,35.40,4.50,0.80,2.20,Low,2.96,3.07,
TAMAN CERMAI,Muar,Johor,Freehold,Terrace House,3,2,895000,630,"1,421",17,76,Low,5.00,2.00,2.90,10.90,Medium,3.07,3.39,
TAMAN MANTAU INDAH,Seremban 2,Negeri Sembilan,Freehold,Terrace House,3,2,300000,200,"1,500",17,78,Low,38.70,14.60,0.90,10.00,Low,3.78,3.14,
TAMAN WARISAN HIJAUAN,Dengkil,Selangor,"Leasehold, Freehold",Terrace House,3,2,493000,261,"1,889",17,68,Moderate,4.50,2.20,0.70,9.70,Low,2.97,4.50,
SHAHZAN,Kuantan,Pahang,Freehold,Terrace House,3,2,310000,210,"1,476",17,78,Low,13.30,6.50,0.80,3.70,Medium,2.14,2.32,
BANDAR BARU BUKIT MENTOK,Kemaman,Terengganu,Leasehold,Terrace House,3,2,213000,113,"1,885",17,88,Very Low,5.30,4.50,2.50,3.90,Low,2.10,1.07,
TAMAN DESA BIDARA,Kuala Ketil,Kedah,Freehold,Terrace House,3,2,215000,144,"1,493",17,82,Low,9.70,17.10,0.60,3.30,Medium,3.41,1.76,
SEKSYEN 8 BANDAR BARU BANGI,Bangi,Selangor,Leasehold,Terrace House,3,2,590000,384,"1,536",17,70,Moderate,2.50,3.00,1.50,3.00,Medium,3.71,5.19,
DANGA SUTERA,Skudai,Johor,Freehold,"Terrace House, Semi D",4,4,892000,531,"1,680",17,74,Moderate,7.00,4.90,3.60,12.70,Medium,2.32,4.67,
TAMAN DESA LANG INDAH,Ipoh,Perak,"Freehold, Leasehold",Terrace House,3,2,528800,315,"1,679",17,78,Low,9.50,8.40,3.40,4.70,Low,3.18,1.28,
USJ 5,Subang Jaya,Selangor,Freehold,"Semi D, Bungalow, Terrace House",7,6,1600000,569,"2,812",17,72,Moderate,0.90,6.20,1.00,3.50,Low,3.50,4.33,
TAMAN PERMATA PENAWAR,Pengerang,Johor,Leasehold,Terrace House,3,2,386200,272,"1,420",17,77,Low,11.80,2.10,1.40,2.80,Low,3.19,5.28,
TAMAN SRI UNAS 2,Muar,Johor,Freehold,"Bungalow, Semi D",5,4,394000,155,"2,542",17,72,Moderate,26.00,10.80,1.10,1.90,Medium,3.20,5.47,
TAMAN HALAMAN INDAH,Sungai Jawi,Penang,Freehold,Terrace House,3,2,340000,248,"1,371",17,80,Low,5.50,3.20,0.60,2.00,High,3.17,2.85,
TAMAN BUKIT MEWAH,Tampoi,Johor,Freehold,Terrace House,3,2,540000,415,"1,301",17,74,Moderate,2.10,1.70,1.40,3.80,Medium,3.08,3.05,
TAMAN SCIENTEX KULAI 2,Kulai,Johor,Freehold,"Terrace House, Cluster House",4,3,440000,281,"1,566",17,80,Low,2.90,5.80,2.50,3.70,Low,3.37,4.58,
TAMAN DESA CEMPAKA,Nilai,Negeri Sembilan,Freehold,Terrace House,3,2,350000,200,"1,750",17,75,Low,5.30,4.70,1.10,7.40,Low,3.08,1.24,
TAMAN SRI BAYU,Sepang,Selangor,Freehold,"Semi D, Terrace House",4,4,267000,123,"2,171",17,68,Moderate,6.60,1.20,0.50,7.80,Medium,3.08,2.74,
P/L 3214 JALAN KEBUN,Klang,Selangor,Freehold,Semi D,4,4,599800,248,"2,419",17,72,Moderate,0.80,2.90,0.70,2.60,Low,3.57,4.87,
TAMAN SUTERA,Kulai,Johor,Freehold,Terrace House,3,2,360000,268,"1,343",17,75,Low,6.20,9.10,3.40,6.40,Low,4.21,2.95,
ARA DAMANSARA,Ara Damansara,Selangor,Freehold,"Bungalow, Terrace House",6,5,1300000,729,"1,783",17,74,Moderate,1.30,3.00,1.60,16.30,Low,3.22,4.20,
TAMAN SERAI WANGI,Padang Serai,Kedah,Freehold,Terrace House,3,2,270000,209,"1,292",17,81,Low,17.10,13.60,0.90,8.20,High,4.12,2.57,
TAMAN LEMBAH MERBOK,Merbok,Kedah,Freehold,Terrace House,3,2,210000,150,"1,400",17,87,Very Low,20.80,4.20,0.90,6.00,Medium,2.33,2.09,
TAMAN SRI WANG,Sungai Petani,Kedah,Freehold,Terrace House,3,2,200000,177,"1,130",17,82,Low,31.60,5.10,4.50,1.90,Low,3.51,2.75,
OFF JALAN MERU,Klang,Selangor,Freehold,Terrace House,3,2,500000,274,"1,825",17,68,Moderate,1.10,3.10,4.30,10.90,Medium,3.99,3.04,
USJ 9,Subang Jaya,Selangor,Freehold,Terrace House,3,2,850000,484,"1,756",17,68,Moderate,0.50,1.50,1.20,5.40,High,4.19,2.68,
TAMAN PUCHONG INDAH,Puchong,Selangor,Leasehold,Terrace House,3,2,400000,334,"1,198",17,77,Low,0.90,1.50,5.70,11.30,Low,4.26,5.07,
TAMAN BERTAM SETIA,Tanjong Minyak,Melaka,Freehold,"Terrace House, Semi D",4,4,344000,203,"1,695",17,76,Low,39.50,4.00,0.70,1.90,Low,3.52,2.84,
TAMAN KASTURI,Sitiawan,Perak,Freehold,Terrace House,3,2,623800,357,"1,747",17,82,Low,36.10,10.70,0.80,3.70,Medium,2.17,1.10,
TAMAN MEWAH JAYA,Klang,Selangor,Freehold,Terrace House,3,2,450000,320,"1,406",17,70,Moderate,2.80,2.80,1.90,1.80,Medium,2.23,2.76,
TAMAN VISTA KIRANA,Bukit Katil,Melaka,Leasehold,"Bungalow, Semi D",6,5,707000,136,"5,199",17,76,Low,18.80,4.30,4.50,11.10,Low,3.26,1.54,
TAMAN AIR KEROH FASA 1-3,Bukit Katil,Melaka,Leasehold,Terrace House,3,2,220000,159,"1,384",17,78,Low,21.40,8.10,0.50,3.10,Medium,3.98,2.11,
TABUAN HEIGHTS,Kuching,Sarawak,Freehold,Terrace House,3,2,700000,302,"2,318",17,80,Low,7.90,6.50,1.00,11.10,Low,3.60,2.63,
TAMAN MANTIN PUTRA,Mantin,Negeri Sembilan,Freehold,"Semi D, Terrace House",4,4,550000,160,"3,438",17,78,Low,41.90,6.50,0.60,11.10,Low,2.74,1.61,
TWIN PALM,Cheras,Selangor,Freehold,Bungalow,7,6,2700000,506,"5,336",17,75,Low,1.90,10.50,0.60,4.50,Low,2.79,4.89,
TAMAN HILIR,Melaka City,Melaka,Freehold,Terrace House,3,2,430000,279,"1,541",17,81,Low,12.20,4.60,1.20,2.30,Low,3.35,1.63,
REJANG PARK,Sibu,Sarawak,Leasehold,Terrace House,3,2,380000,197,"1,929",17,78,Low,16.00,6.10,5.30,4.30,Medium,3.88,1.14,
TAMAN KAJANG UTAMA,Kajang,Selangor,Freehold,"Terrace House, Town House",3,2,410000,293,"1,399",17,73,Moderate,0.60,1.30,2.00,3.20,Medium,3.61,3.82,
TAMAN LEMBAH PERMAI,Sungai Lalang,Kedah,Freehold,Terrace House,3,2,230000,147,"1,565",17,87,Very Low,7.70,9.30,1.40,2.40,Low,3.68,3.32,
TAMAN AUSTIN PERDANA,Tebrau,Johor,Freehold,"Semi D, Terrace House",4,4,670000,434,"1,544",17,74,Moderate,9.00,1.60,2.70,2.70,Low,3.73,3.83,
Perai Jaya,Perai,Penang,Leasehold,Flat,2,1,43000,73,589,17,74,Moderate,1.50,5.40,0.80,3.10,Low,3.55,4.92,
Casa Tropicana,Tropicana,Selangor,Leasehold,Condominium,3,2,540000,464,"1,164",17,71,Moderate,2.80,2.90,4.80,12.20,Low,4.26,2.73,
The Pearl (Pearl Point),Jalan Klang Lama (Old Klang Road),Kuala Lumpur,Freehold,Condominium,3,2,400000,368,"1,087",17,72,Moderate,1.20,1.70,1.20,2.10,Low,4.85,3.38,
Epic Residence,Johor Bahru,Johor,"Freehold, Leasehold",Apartment,3,2,410000,328,"1,250",17,72,Moderate,4.00,3.10,1.40,10.70,Low,3.31,5.21,
Gat Lebuh Macallum,Georgetown,Penang,Leasehold,Flat,2,1,175000,342,512,17,83,Low,3.00,9.00,1.20,4.20,Low,4.31,3.34,
Sri Putramas III / Royal Regent,Jalan Kuching,Kuala Lumpur,Freehold,Condominium,3,2,710000,455,"1,560",17,69,Moderate,1.60,7.80,3.00,1.50,Low,4.85,5.16,
Pangsapuri Permai,Sungai Besi,Kuala Lumpur,Leasehold,Apartment,3,2,210000,325,646,17,69,Moderate,3.70,2.20,1.30,2.50,Low,3.20,4.56,
Residensi Warnasari 3,Bandar Puncak Alam,Selangor,Leasehold,Apartment,3,2,185000,257,720,17,70,Moderate,1.40,1.70,0.60,5.60,Medium,4.96,3.13,
The WaterEdge (Pinggiran Air),Permas Jaya,Johor,Freehold,Condominium,3,2,640000,555,"1,153",17,80,Low,6.00,1.90,0.60,2.60,Low,4.33,2.77,
Maisson,Ara Damansara,Selangor,Freehold,Service Residence,3,2,535000,619,864,17,67,Moderate,2.10,5.90,3.40,4.10,Low,3.72,5.04,
Quayside Condominium,Tanjong Tokong,Penang,Freehold,Condominium,3,2,1510000,967,"1,562",17,76,Low,7.50,2.60,6.20,2.40,Low,3.45,4.95,
Danau Idaman,Taman Desa,Kuala Lumpur,Leasehold,Condominium,3,2,395000,422,936,17,67,Moderate,7.40,1.70,1.00,2.30,Low,4.97,3.54,
Pangsapuri Wira,Cheras,Selangor,Freehold,Apartment,3,2,256000,313,818,17,72,Moderate,3.80,2.40,4.10,5.30,Low,4.79,2.50,
Mewah View Luxurious Apartments,Tampoi,Johor,Freehold,Apartment,3,2,400000,292,"1,370",17,75,Low,2.50,2.60,4.60,1.70,Low,5.34,4.15,
Sunny Ville Condominium,Gelugor,Penang,Freehold,Condominium,3,2,390000,420,929,17,74,Moderate,1.20,1.70,1.80,5.30,Medium,4.63,4.49,
Taman Desa Relau 2,Relau,Penang,Freehold,Apartment,3,2,290000,385,753,17,75,Low,2.80,1.10,1.30,5.70,Low,4.49,5.07,
Seri Mengkuang,Gelang Patah,Johor,Leasehold,Apartment,3,2,180000,226,796,17,71,Moderate,6.40,4.60,2.00,3.00,Low,4.60,5.22,
Endah Villa,Sri Petaling,Kuala Lumpur,Leasehold,Condominium,3,2,360000,319,"1,129",17,69,Moderate,0.60,1.30,1.30,2.10,Low,4.54,3.01,
